
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-06-11 05:34:00 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.32ms
  2026-06-11 05:34:00 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.43ms
  2026-06-11 05:34:00 /build/assets/index-Bhz_ry2-.js .............. ~ 0.52ms
  2026-06-11 05:34:00 /build/assets/index-_tz1FyI2.js .............. ~ 0.07ms
  2026-06-11 05:34:00 /build/assets/index-Cmvk7tHf.js .............. ~ 0.31ms
  2026-06-11 05:34:00 /build/assets/index-DfnlAyco.js .............. ~ 0.45ms
  2026-06-11 05:34:00 /build/assets/index-CWQgIVzv.js .............. ~ 0.59ms
  2026-06-11 05:34:00 /build/assets/check-CMDVCFnE.js .............. ~ 0.71ms
  2026-06-11 05:34:00 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.84ms
  2026-06-11 05:34:00 /build/assets/index-Bq72hOse.js .............. ~ 0.06ms
  2026-06-11 05:34:00 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.23ms
  2026-06-11 05:34:00 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.32ms
  2026-06-11 05:34:00 /build/assets/index-Dby2qiUZ.js .............. ~ 0.40ms
  2026-06-11 05:34:00 /build/assets/app-CTtEV4y4.css ............... ~ 0.03ms
  2026-06-11 05:34:01 /logo.png .................................... ~ 0.12ms
  2026-06-11 05:34:55 /login ....................................... ~ 0.11ms
  2026-06-11 05:34:55 /build/assets/app-CTtEV4y4.css ............... ~ 0.04ms
  2026-06-11 05:34:55 /build/assets/login-Dzh-h17g.js .............. ~ 0.07ms
  2026-06-11 05:34:55 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.19ms
  2026-06-11 05:34:55 /build/assets/text-link-CSoec2uC.js .......... ~ 0.30ms
  2026-06-11 05:34:55 /build/assets/button-5T1vwz7h.js ............. ~ 0.40ms
  2026-06-11 05:34:55 /build/assets/app-C8Ggl87-.js ................ ~ 0.62ms
  2026-06-11 05:34:55 /build/assets/checkbox-DCAIBSVl.js ........... ~ 0.75ms
  2026-06-11 05:34:55 /_debugbar/assets ............................ ~ 0.05ms
  2026-06-11 05:34:55 /build/assets/input-Chfec9Ut.js .............. ~ 0.52ms
  2026-06-11 05:34:55 /build/assets/label-BOLrVtPs.js .............. ~ 0.72ms
  2026-06-11 05:34:55 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.44ms
  2026-06-11 05:34:55 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.55ms
  2026-06-11 05:34:55 /build/assets/index-Bhz_ry2-.js .............. ~ 0.64ms
  2026-06-11 05:34:55 /build/assets/index-_tz1FyI2.js .............. ~ 0.06ms
  2026-06-11 05:34:55 /build/assets/index-Cmvk7tHf.js .............. ~ 0.22ms
  2026-06-11 05:34:55 /build/assets/index-DfnlAyco.js .............. ~ 0.37ms
  2026-06-11 05:34:55 /build/assets/index-CWQgIVzv.js .............. ~ 0.56ms
  2026-06-11 05:34:55 /build/assets/check-CMDVCFnE.js .............. ~ 0.71ms
  2026-06-11 05:34:55 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.83ms
  2026-06-11 05:34:55 /build/assets/index-Bq72hOse.js .............. ~ 0.27ms
  2026-06-11 05:34:55 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.19ms
  2026-06-11 05:34:55 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.27ms
  2026-06-11 05:34:55 /build/assets/index-Dby2qiUZ.js .............. ~ 0.35ms
  2026-06-11 05:34:55 /_debugbar/assets ............................ ~ 0.52ms
  2026-06-11 05:34:56 /build/assets/app-CTtEV4y4.css ............... ~ 0.10ms
  2026-06-11 05:34:56 /logo.png .................................... ~ 0.04ms
  2026-06-11 05:34:56 /login ....................................... ~ 0.16ms
  2026-06-11 05:34:56 /login ....................................... ~ 0.03ms
  2026-06-11 05:34:56 /_debugbar/open .............................. ~ 0.04ms
  2026-06-11 05:34:56 /_debugbar/open .............................. ~ 0.36ms
  2026-06-11 05:34:58 /meetings/create ............................. ~ 0.17ms
  2026-06-11 05:34:58 /login ....................................... ~ 0.15ms
  2026-06-11 05:34:58 /build/assets/app-CTtEV4y4.css ............... ~ 0.05ms
  2026-06-11 05:34:58 /build/assets/app-C8Ggl87-.js ................ ~ 0.15ms
  2026-06-11 05:34:58 /build/assets/login-Dzh-h17g.js .............. ~ 0.50ms
  2026-06-11 05:34:58 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.78ms
  2026-06-11 05:34:58 /build/assets/text-link-CSoec2uC.js .......... ~ 0.97ms
  2026-06-11 05:34:58 /build/assets/button-5T1vwz7h.js ............. ~ 1.17ms
  2026-06-11 05:34:58 /build/assets/checkbox-DCAIBSVl.js ........... ~ 1.48ms
  2026-06-11 05:34:58 /build/assets/input-Chfec9Ut.js .............. ~ 0.15ms
  2026-06-11 05:34:58 /build/assets/label-BOLrVtPs.js .............. ~ 0.57ms
  2026-06-11 05:34:58 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.87ms
  2026-06-11 05:34:58 /build/assets/auth-layout-BL-PewUP.js ........ ~ 1.16ms
  2026-06-11 05:34:58 /build/assets/index-Bhz_ry2-.js .............. ~ 1.34ms
  2026-06-11 05:34:58 /build/assets/index-_tz1FyI2.js .............. ~ 1.67ms
  2026-06-11 05:34:58 /build/assets/index-Cmvk7tHf.js .............. ~ 0.09ms
  2026-06-11 05:34:58 /build/assets/index-DfnlAyco.js .............. ~ 0.35ms
  2026-06-11 05:34:58 /build/assets/index-CWQgIVzv.js .............. ~ 0.66ms
  2026-06-11 05:34:58 /build/assets/check-CMDVCFnE.js .............. ~ 0.90ms
  2026-06-11 05:34:58 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 1.21ms
  2026-06-11 05:34:58 /build/assets/index-Bq72hOse.js .............. ~ 1.36ms
  2026-06-11 05:34:58 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.67ms
  2026-06-11 05:34:58 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.80ms
  2026-06-11 05:34:58 /build/assets/index-Dby2qiUZ.js .............. ~ 0.99ms
  2026-06-11 05:34:58 /build/assets/app-CTtEV4y4.css ............... ~ 0.21ms
  2026-06-11 05:34:58 /logo.png .................................... ~ 0.08ms
  2026-06-11 05:35:22 /login ....................................... ~ 0.11ms
  2026-06-11 05:35:22 /build/assets/app-CTtEV4y4.css ............... ~ 0.05ms
  2026-06-11 05:35:22 /build/assets/login-Dzh-h17g.js .............. ~ 0.07ms
  2026-06-11 05:35:22 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.21ms
  2026-06-11 05:35:22 /build/assets/text-link-CSoec2uC.js .......... ~ 0.31ms
  2026-06-11 05:35:22 /build/assets/button-5T1vwz7h.js ............. ~ 0.42ms
  2026-06-11 05:35:22 /build/assets/checkbox-DCAIBSVl.js ........... ~ 0.57ms
  2026-06-11 05:35:22 /build/assets/app-C8Ggl87-.js ................ ~ 0.78ms
  2026-06-11 05:35:22 /_debugbar/assets ............................ ~ 0.04ms
  2026-06-11 05:35:22 /build/assets/input-Chfec9Ut.js .............. ~ 0.31ms
  2026-06-11 05:35:22 /build/assets/label-BOLrVtPs.js .............. ~ 0.46ms
  2026-06-11 05:35:22 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.37ms
  2026-06-11 05:35:22 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.50ms
  2026-06-11 05:35:22 /build/assets/index-Bhz_ry2-.js .............. ~ 0.64ms
  2026-06-11 05:35:22 /build/assets/index-_tz1FyI2.js .............. ~ 0.08ms
  2026-06-11 05:35:22 /build/assets/index-Cmvk7tHf.js .............. ~ 0.27ms
  2026-06-11 05:35:22 /build/assets/index-DfnlAyco.js .............. ~ 0.41ms
  2026-06-11 05:35:22 /build/assets/index-CWQgIVzv.js .............. ~ 0.55ms
  2026-06-11 05:35:22 /build/assets/check-CMDVCFnE.js .............. ~ 0.68ms
  2026-06-11 05:35:22 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.85ms
  2026-06-11 05:35:22 /_debugbar/assets ............................ ~ 0.03ms
  2026-06-11 05:35:22 /build/assets/index-Bq72hOse.js .............. ~ 0.28ms
  2026-06-11 05:35:22 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.40ms
  2026-06-11 05:35:22 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.48ms
  2026-06-11 05:35:22 /build/assets/index-Dby2qiUZ.js .............. ~ 0.56ms
  2026-06-11 05:35:23 /build/assets/app-CTtEV4y4.css ............... ~ 0.03ms
  2026-06-11 05:35:23 /logo.png .................................... ~ 0.12ms
  2026-06-11 05:35:23 /login ....................................... ~ 0.14ms
  2026-06-11 05:35:23 /login ....................................... ~ 0.08ms
  2026-06-11 05:35:23 /_debugbar/open .............................. ~ 0.09ms
  2026-06-11 05:35:23 /_debugbar/open .............................. ~ 0.93ms
  2026-06-11 05:35:25 /meetings/create ............................. ~ 0.10ms
  2026-06-11 05:35:25 /login ....................................... ~ 0.03ms
  2026-06-11 05:35:25 /build/assets/app-CTtEV4y4.css ............... ~ 0.03ms
  2026-06-11 05:35:25 /build/assets/login-Dzh-h17g.js .............. ~ 0.06ms
  2026-06-11 05:35:25 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.21ms
  2026-06-11 05:35:25 /build/assets/text-link-CSoec2uC.js .......... ~ 0.30ms
  2026-06-11 05:35:25 /build/assets/app-C8Ggl87-.js ................ ~ 0.44ms
  2026-06-11 05:35:25 /build/assets/button-5T1vwz7h.js ............. ~ 0.56ms
  2026-06-11 05:35:25 /build/assets/checkbox-DCAIBSVl.js ........... ~ 0.75ms
  2026-06-11 05:35:25 /build/assets/input-Chfec9Ut.js .............. ~ 0.19ms
  2026-06-11 05:35:25 /build/assets/label-BOLrVtPs.js .............. ~ 0.21ms
  2026-06-11 05:35:25 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.33ms
  2026-06-11 05:35:25 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.44ms
  2026-06-11 05:35:25 /build/assets/index-Bhz_ry2-.js .............. ~ 0.54ms
  2026-06-11 05:35:25 /build/assets/index-_tz1FyI2.js .............. ~ 0.59ms
  2026-06-11 05:35:25 /build/assets/index-Cmvk7tHf.js .............. ~ 0.28ms
  2026-06-11 05:35:25 /build/assets/index-DfnlAyco.js .............. ~ 0.40ms
  2026-06-11 05:35:25 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.31ms
  2026-06-11 05:35:25 /build/assets/index-CWQgIVzv.js .............. ~ 0.59ms
  2026-06-11 05:35:25 /build/assets/check-CMDVCFnE.js .............. ~ 0.80ms
  2026-06-11 05:35:25 /build/assets/index-Bq72hOse.js .............. ~ 0.72ms
  2026-06-11 05:35:25 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.05ms
  2026-06-11 05:35:25 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.12ms
  2026-06-11 05:35:25 /build/assets/index-Dby2qiUZ.js .............. ~ 0.19ms
  2026-06-11 05:35:25 /build/assets/app-CTtEV4y4.css ............... ~ 0.02ms
  2026-06-11 05:35:25 /logo.png .................................... ~ 0.02ms
  2026-06-11 05:36:00 /login ....................................... ~ 0.11ms
