
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-05-09 12:07:01 /build/assets/index-BFYvTa4Z.js .............. ~ 0.98ms
  2026-05-09 12:07:01 /build/assets/index-DRneG20b.js .............. ~ 0.56ms
  2026-05-09 12:07:01 /build/assets/x-DFRZDpfh.js .................. ~ 0.67ms
  2026-05-09 12:07:01 /build/assets/createLucideIcon-knGogfeY.js ... ~ 0.87ms
  2026-05-09 12:07:01 /build/assets/index-rQToH4qm.js .............. ~ 0.07ms
  2026-05-09 12:07:01 /build/assets/dropdown-menu-BSS3nNSo.js ...... ~ 0.20ms
  2026-05-09 12:07:01 /build/assets/index-CveNOnJE.js .............. ~ 0.28ms
  2026-05-09 12:07:01 /build/assets/index-Cld8We02.js .............. ~ 0.42ms
  2026-05-09 12:07:01 /build/assets/index-DSmE5RgD.js .............. ~ 0.56ms
  2026-05-09 12:07:01 /build/assets/settings-qiwqy_gF.js ........... ~ 0.69ms
  2026-05-09 12:07:01 /build/assets/chevrons-up-down-CVtuT8J5.js ... ~ 0.53ms
  2026-05-09 12:07:01 /build/assets/app-logo-icon-DnbmGu7i.js ...... ~ 0.15ms
  2026-05-09 12:07:01 /build/assets/building-2-DIjsXO2B.js ......... ~ 0.23ms
  2026-05-09 12:07:01 /build/assets/loader-circle-DCe0y_72.js ...... ~ 0.32ms
  2026-05-09 12:07:01 /build/assets/index-CK5W6wdW.js .............. ~ 0.40ms
  2026-05-09 12:07:01 /build/assets/check-BuiB3Ac6.js .............. ~ 0.53ms
  2026-05-09 12:07:01 /build/assets/input-VF-QJ_8E.js .............. ~ 0.05ms
  2026-05-09 12:07:01 /build/assets/calendar-DJev92WA.js ........... ~ 0.30ms
  2026-05-09 12:07:01 /build/assets/badge-CinBWc5P.js .............. ~ 0.43ms
  2026-05-09 12:07:01 /build/assets/app-BaH780_N.css ............... ~ 0.03ms
  2026-05-09 12:07:01 /logo.png .................................... ~ 0.03ms
  2026-05-09 12:07:02 /users/create ................................ ~ 0.17ms
  2026-05-09 12:07:02 /_debugbar/open .............................. ~ 0.03ms
  2026-05-09 12:07:02 /build/assets/Create-BOf7EDDH.js ............. ~ 0.06ms
  2026-05-09 12:07:02 /build/assets/form-ui8TiPus.js ............... ~ 0.19ms
  2026-05-09 12:07:02 /build/assets/ErrorMessage-DJtSMAss.js ....... ~ 0.34ms
  2026-05-09 12:07:37 /login ....................................... ~ 0.10ms
  2026-05-09 12:07:37 /build/assets/app-BaH780_N.css ............. ~ 500.54ms
  2026-05-09 12:07:37 /build/assets/login-CjKnvGER.js .............. ~ 0.08ms
  2026-05-09 12:07:37 /build/assets/input-error-C1F3NBUD.js ........ ~ 0.24ms
  2026-05-09 12:07:37 /build/assets/text-link-BsWoao-O.js .......... ~ 0.33ms
  2026-05-09 12:07:37 /build/assets/button-BKz7cK7D.js ............. ~ 0.44ms
  2026-05-09 12:07:37 /build/assets/checkbox-BIs78qXD.js ........... ~ 0.57ms
  2026-05-09 12:07:37 /build/assets/app-gnqupJfv.js ................ ~ 0.89ms
  2026-05-09 12:07:37 /_debugbar/assets ............................ ~ 0.05ms
  2026-05-09 12:07:37 /build/assets/input-VF-QJ_8E.js .............. ~ 0.31ms
  2026-05-09 12:07:37 /build/assets/label-BB22tlE5.js .............. ~ 0.43ms
  2026-05-09 12:07:37 /build/assets/spinner-C-TTjEfs.js ............ ~ 0.56ms
  2026-05-09 12:07:37 /build/assets/auth-layout-CH3wTlDn.js ........ ~ 0.49ms
  2026-05-09 12:07:37 /build/assets/index-DSmE5RgD.js .............. ~ 0.60ms
  2026-05-09 12:07:37 /build/assets/index-Bzi9sE1E.js .............. ~ 0.08ms
  2026-05-09 12:07:37 /build/assets/utils-CY_1PSmf.js .............. ~ 0.23ms
  2026-05-09 12:07:37 /build/assets/index-D5fDGFgk.js .............. ~ 0.37ms
  2026-05-09 12:07:37 /build/assets/index-CK5W6wdW.js .............. ~ 0.59ms
  2026-05-09 12:07:37 /build/assets/index-DRneG20b.js .............. ~ 0.77ms
  2026-05-09 12:07:37 /build/assets/check-BuiB3Ac6.js .............. ~ 0.91ms
  2026-05-09 12:07:37 /_debugbar/assets ............................ ~ 0.09ms
  2026-05-09 12:07:37 /build/assets/createLucideIcon-knGogfeY.js ... ~ 0.35ms
  2026-05-09 12:07:37 /build/assets/index-Cld8We02.js .............. ~ 0.41ms
  2026-05-09 12:07:37 /build/assets/loader-circle-DCe0y_72.js ...... ~ 0.58ms
  2026-05-09 12:07:37 /build/assets/app-logo-icon-DnbmGu7i.js ...... ~ 0.67ms
  2026-05-09 12:07:37 /build/assets/index-CHtEOHk9.js .............. ~ 0.76ms
  2026-05-09 12:07:37 /build/assets/app-BaH780_N.css ............... ~ 0.03ms
  2026-05-09 12:07:37 /logo.png .................................... ~ 0.03ms
  2026-05-09 12:07:37 /login ..................................... ~ 500.50ms
  2026-05-09 12:07:38 /dashboard ................................... ~ 0.04ms
  2026-05-09 12:07:38 /_debugbar/open .............................. ~ 0.04ms
  2026-05-09 12:07:38 /_debugbar/open .............................. ~ 0.27ms
  2026-05-09 12:07:38 /build/assets/app-layout-C8umqmKV.js ......... ~ 1.17ms
  2026-05-09 12:07:38 /build/assets/dashboard-svVUqrAZ.js .......... ~ 1.61ms
  2026-05-09 12:07:38 /build/assets/index-sTO93vMD.js .............. ~ 0.38ms
  2026-05-09 12:07:38 /build/assets/index-BFYvTa4Z.js .............. ~ 0.51ms
  2026-05-09 12:07:38 /build/assets/x-DFRZDpfh.js .................. ~ 0.91ms
  2026-05-09 12:07:38 /build/assets/index-rQToH4qm.js .............. ~ 0.08ms
  2026-05-09 12:07:38 /build/assets/dropdown-menu-BSS3nNSo.js ...... ~ 0.21ms
  2026-05-09 12:07:38 /build/assets/index-CveNOnJE.js .............. ~ 0.30ms
  2026-05-09 12:07:38 /build/assets/settings-qiwqy_gF.js ........... ~ 0.43ms
  2026-05-09 12:07:38 /build/assets/chevrons-up-down-CVtuT8J5.js ... ~ 0.55ms
  2026-05-09 12:07:38 /build/assets/building-2-DIjsXO2B.js ......... ~ 0.20ms
  2026-05-09 12:07:38 /build/assets/circle-alert-0xH9wvuO.js ....... ~ 0.23ms
  2026-05-09 12:07:38 /build/assets/calendar-DJev92WA.js ........... ~ 0.31ms
  2026-05-09 12:07:38 /build/assets/clock-B8KHQH_u.js .............. ~ 0.59ms
  2026-05-09 12:07:38 /build/assets/badge-CinBWc5P.js .............. ~ 0.92ms
  2026-05-09 12:07:38 /build/assets/map-pin-CAf7JCAq.js ............ ~ 1.33ms
  2026-05-09 12:07:38 /users ....................................... ~ 0.10ms
  2026-05-09 12:07:38 /build/assets/app-BaH780_N.css ............... ~ 0.03ms
  2026-05-09 12:07:38 /build/assets/Index-C7H7r1MS.js .............. ~ 0.13ms
  2026-05-09 12:07:38 /build/assets/CommonTable-CmgWtGCl.js ........ ~ 0.27ms
  2026-05-09 12:07:38 /build/assets/heading-DIfAgVk6.js ............ ~ 0.36ms
  2026-05-09 12:07:38 /build/assets/columns-DjjUwIa3.js ............ ~ 0.47ms
  2026-05-09 12:07:38 /build/assets/app-gnqupJfv.js ................ ~ 0.59ms
  2026-05-09 12:07:38 /build/assets/app-layout-C8umqmKV.js ......... ~ 0.69ms
  2026-05-09 12:07:38 /build/assets/select-BwE6lAX5.js ............. ~ 0.05ms
  2026-05-09 12:07:38 /build/assets/date-format-W4w6e9Vj.js ........ ~ 0.30ms
  2026-05-09 12:07:38 /build/assets/command-DEQh6ixX.js ............ ~ 0.57ms
  2026-05-09 12:07:38 /build/assets/AlertDialogDestructive-Bl4B7fde.js  ~ 0.92ms
  2026-05-09 12:07:38 /build/assets/printer-3ilykXfQ.js ............ ~ 0.90ms
  2026-05-09 12:07:38 /build/assets/trash-2-BEJsI4nM.js ............ ~ 1.17ms
  2026-05-09 12:07:39 /build/assets/ellipsis-CvUPaNj6.js ........... ~ 0.25ms
  2026-05-09 12:07:39 /build/assets/plus-CzC7NiB1.js ............... ~ 0.45ms
  2026-05-09 12:07:39 /build/assets/TableRowActions-2iAqLPQB.js .... ~ 0.79ms
  2026-05-09 12:07:39 /build/assets/square-pen-Dc9eqwXj.js ......... ~ 1.95ms
  2026-05-09 12:07:39 /build/assets/utils-CY_1PSmf.js .............. ~ 1.99ms
  2026-05-09 12:07:39 /build/assets/button-BKz7cK7D.js ............. ~ 0.21ms
  2026-05-09 12:07:39 /build/assets/index-sTO93vMD.js .............. ~ 0.34ms
  2026-05-09 12:07:39 /build/assets/index-D5fDGFgk.js .............. ~ 0.47ms
  2026-05-09 12:07:39 /build/assets/index-BFYvTa4Z.js .............. ~ 0.59ms
  2026-05-09 12:07:39 /build/assets/index-DRneG20b.js .............. ~ 0.75ms
  2026-05-09 12:07:39 /build/assets/x-DFRZDpfh.js .................. ~ 0.08ms
  2026-05-09 12:07:39 /build/assets/createLucideIcon-knGogfeY.js ... ~ 0.23ms
  2026-05-09 12:07:39 /build/assets/index-rQToH4qm.js .............. ~ 0.29ms
  2026-05-09 12:07:39 /build/assets/dropdown-menu-BSS3nNSo.js ...... ~ 0.43ms
  2026-05-09 12:07:39 /build/assets/index-CveNOnJE.js .............. ~ 0.52ms
  2026-05-09 12:07:39 /build/assets/index-Cld8We02.js .............. ~ 0.65ms
  2026-05-09 12:07:39 /build/assets/settings-qiwqy_gF.js ........... ~ 0.08ms
  2026-05-09 12:07:39 /build/assets/index-DSmE5RgD.js .............. ~ 0.52ms
  2026-05-09 12:07:39 /build/assets/chevrons-up-down-CVtuT8J5.js ... ~ 0.32ms
  2026-05-09 12:07:39 /build/assets/app-logo-icon-DnbmGu7i.js ...... ~ 0.39ms
  2026-05-09 12:07:39 /build/assets/building-2-DIjsXO2B.js ......... ~ 0.46ms
  2026-05-09 12:07:39 /build/assets/loader-circle-DCe0y_72.js ...... ~ 0.57ms
  2026-05-09 12:07:39 /build/assets/index-CK5W6wdW.js .............. ~ 0.15ms
  2026-05-09 12:07:39 /build/assets/check-BuiB3Ac6.js .............. ~ 0.50ms
  2026-05-09 12:07:39 /build/assets/input-VF-QJ_8E.js .............. ~ 0.87ms
  2026-05-09 12:07:39 /build/assets/calendar-DJev92WA.js ........... ~ 1.37ms
  2026-05-09 12:07:39 /build/assets/badge-CinBWc5P.js .............. ~ 1.91ms
  2026-05-09 12:07:39 /build/assets/app-BaH780_N.css ............... ~ 2.52ms
  2026-05-09 12:07:39 /logo.png .................................... ~ 0.06ms
  2026-05-09 12:07:39 /users/create ................................ ~ 0.26ms
  2026-05-09 12:07:39 /_debugbar/open .............................. ~ 0.06ms
  2026-05-09 12:07:39 /build/assets/Create-BOf7EDDH.js ............. ~ 0.06ms
  2026-05-09 12:07:39 /build/assets/form-ui8TiPus.js ............... ~ 0.19ms
  2026-05-09 12:07:39 /build/assets/ErrorMessage-DJtSMAss.js ....... ~ 0.32ms
  2026-05-09 12:07:39 /users ..................................... ~ 500.61ms
  2026-05-09 12:07:40 /users ....................................... ~ 0.07ms
  2026-05-09 12:07:40 /_debugbar/open .............................. ~ 0.05ms
  2026-05-09 12:07:40 /_debugbar/open .............................. ~ 0.28ms
  2026-05-09 12:09:15 /login ....................................... ~ 0.13ms
  2026-05-09 12:09:15 /build/assets/app-BaH780_N.css ............... ~ 0.06ms
  2026-05-09 12:09:15 /build/assets/login-CjKnvGER.js .............. ~ 0.16ms
  2026-05-09 12:09:15 /build/assets/input-error-C1F3NBUD.js ........ ~ 0.50ms
  2026-05-09 12:09:15 /build/assets/app-gnqupJfv.js ................ ~ 0.70ms
  2026-05-09 12:09:15 /build/assets/text-link-BsWoao-O.js .......... ~ 1.03ms
  2026-05-09 12:09:15 /build/assets/button-BKz7cK7D.js ............. ~ 1.22ms
  2026-05-09 12:09:15 /build/assets/checkbox-BIs78qXD.js ........... ~ 1.46ms
  2026-05-09 12:09:15 /_debugbar/assets ............................ ~ 0.11ms
  2026-05-09 12:09:15 /build/assets/input-VF-QJ_8E.js .............. ~ 0.52ms
  2026-05-09 12:09:15 /build/assets/label-BB22tlE5.js .............. ~ 0.68ms
  2026-05-09 12:09:15 /build/assets/spinner-C-TTjEfs.js ............ ~ 0.85ms
  2026-05-09 12:09:15 /build/assets/auth-layout-CH3wTlDn.js ........ ~ 0.67ms
  2026-05-09 12:09:15 /build/assets/index-DSmE5RgD.js .............. ~ 0.75ms
  2026-05-09 12:09:15 /build/assets/index-Bzi9sE1E.js .............. ~ 0.08ms
  2026-05-09 12:09:15 /build/assets/utils-CY_1PSmf.js .............. ~ 0.22ms
  2026-05-09 12:09:15 /build/assets/index-D5fDGFgk.js .............. ~ 0.37ms
  2026-05-09 12:09:15 /build/assets/index-CK5W6wdW.js .............. ~ 3.52ms
  2026-05-09 12:09:15 /build/assets/index-DRneG20b.js .............. ~ 6.11ms
  2026-05-09 12:09:15 /build/assets/check-BuiB3Ac6.js .............. ~ 6.39ms
  2026-05-09 12:09:15 /build/assets/createLucideIcon-knGogfeY.js ... ~ 0.32ms
  2026-05-09 12:09:15 /build/assets/index-Cld8We02.js .............. ~ 0.27ms
  2026-05-09 12:09:15 /build/assets/loader-circle-DCe0y_72.js ...... ~ 0.42ms
  2026-05-09 12:09:15 /build/assets/app-logo-icon-DnbmGu7i.js ...... ~ 0.51ms
  2026-05-09 12:09:15 /build/assets/index-CHtEOHk9.js .............. ~ 0.83ms
  2026-05-09 12:09:15 /_debugbar/assets ............................ ~ 1.12ms
  2026-05-09 12:09:15 /build/assets/app-BaH780_N.css ............... ~ 0.16ms
  2026-05-09 12:09:15 /logo.png .................................... ~ 0.16ms
  2026-05-09 12:09:16 /login ........................................... ~ 1s
  2026-05-09 12:09:17 /dashboard ................................... ~ 0.04ms
  2026-05-09 12:09:17 /_debugbar/open .............................. ~ 0.04ms
  2026-05-09 12:09:17 /_debugbar/open .............................. ~ 0.47ms
  2026-05-09 12:09:17 /build/assets/app-layout-C8umqmKV.js ......... ~ 0.12ms
  2026-05-09 12:09:17 /build/assets/dashboard-svVUqrAZ.js .......... ~ 0.81ms
  2026-05-09 12:09:17 /build/assets/index-sTO93vMD.js .............. ~ 0.44ms
  2026-05-09 12:09:17 /build/assets/index-BFYvTa4Z.js .............. ~ 0.59ms
  2026-05-09 12:09:17 /build/assets/x-DFRZDpfh.js .................. ~ 0.73ms
  2026-05-09 12:09:17 /build/assets/index-rQToH4qm.js .............. ~ 0.08ms
  2026-05-09 12:09:17 /build/assets/dropdown-menu-BSS3nNSo.js ...... ~ 0.44ms
  2026-05-09 12:09:17 /build/assets/index-CveNOnJE.js .............. ~ 0.68ms
  2026-05-09 12:09:17 /build/assets/settings-qiwqy_gF.js ........... ~ 1.11ms
  2026-05-09 12:09:17 /build/assets/chevrons-up-down-CVtuT8J5.js ... ~ 1.16ms
  2026-05-09 12:09:17 /build/assets/building-2-DIjsXO2B.js ......... ~ 1.05ms
  2026-05-09 12:09:17 /build/assets/circle-alert-0xH9wvuO.js ....... ~ 0.50ms
  2026-05-09 12:09:17 /build/assets/calendar-DJev92WA.js ........... ~ 0.59ms
  2026-05-09 12:09:17 /build/assets/clock-B8KHQH_u.js .............. ~ 0.64ms
  2026-05-09 12:09:17 /build/assets/badge-CinBWc5P.js .............. ~ 0.91ms
  2026-05-09 12:09:17 /build/assets/map-pin-CAf7JCAq.js ............ ~ 0.85ms
  2026-05-09 12:09:17 /users/10 .................................... ~ 0.06ms
  2026-05-09 12:09:18 /build/assets/app-BaH780_N.css ............... ~ 0.12ms
  2026-05-09 12:09:18 /build/assets/Show-clDDJSST.js ............... ~ 0.08ms
  2026-05-09 12:09:18 /build/assets/card-Cwmx1fhf.js ............... ~ 0.22ms
  2026-05-09 12:09:18 /build/assets/AlertDialogDestructive-Bl4B7fde.js  ~ 0.36ms
  2026-05-09 12:09:18 /build/assets/square-pen-Dc9eqwXj.js ......... ~ 0.46ms
  2026-05-09 12:09:18 /build/assets/trash-2-BEJsI4nM.js ............ ~ 0.59ms
  2026-05-09 12:09:18 /build/assets/arrow-left-CnV03GEt.js ......... ~ 0.81ms
  2026-05-09 12:09:18 /build/assets/mail-Cbya-jv8.js ............... ~ 0.45ms
  2026-05-09 12:09:18 /build/assets/phone-C74m7r7U.js .............. ~ 0.23ms
  2026-05-09 12:09:18 /build/assets/user-C-vxUV1e.js ............... ~ 0.37ms
  2026-05-09 12:09:18 /build/assets/app-layout-C8umqmKV.js ......... ~ 0.55ms
  2026-05-09 12:09:18 /build/assets/app-gnqupJfv.js ................ ~ 0.66ms
  2026-05-09 12:09:18 /build/assets/badge-CinBWc5P.js .............. ~ 0.79ms
  2026-05-09 12:09:18 /build/assets/button-BKz7cK7D.js ............. ~ 0.69ms
  2026-05-09 12:09:18 /build/assets/building-2-DIjsXO2B.js ......... ~ 0.20ms
  2026-05-09 12:09:18 /build/assets/calendar-DJev92WA.js ........... ~ 0.30ms
  2026-05-09 12:09:18 /build/assets/utils-CY_1PSmf.js .............. ~ 1.02ms
  2026-05-09 12:09:18 /build/assets/index-sTO93vMD.js .............. ~ 0.60ms
  2026-05-09 12:09:18 /build/assets/index-D5fDGFgk.js .............. ~ 0.71ms
  2026-05-09 12:09:18 /build/assets/index-BFYvTa4Z.js .............. ~ 0.08ms
  2026-05-09 12:09:18 /build/assets/index-DRneG20b.js .............. ~ 0.21ms
  2026-05-09 12:09:18 /build/assets/x-DFRZDpfh.js .................. ~ 0.34ms
  2026-05-09 12:09:18 /build/assets/createLucideIcon-knGogfeY.js ... ~ 0.51ms
  2026-05-09 12:09:18 /build/assets/index-rQToH4qm.js .............. ~ 0.58ms
  2026-05-09 12:09:18 /build/assets/dropdown-menu-BSS3nNSo.js ...... ~ 0.75ms
  2026-05-09 12:09:18 /build/assets/index-CveNOnJE.js .............. ~ 0.08ms
  2026-05-09 12:09:18 /build/assets/index-Cld8We02.js .............. ~ 0.20ms
  2026-05-09 12:09:18 /build/assets/index-DSmE5RgD.js .............. ~ 0.34ms
  2026-05-09 12:09:18 /build/assets/settings-qiwqy_gF.js ........... ~ 0.46ms
  2026-05-09 12:09:18 /build/assets/chevrons-up-down-CVtuT8J5.js ... ~ 0.57ms
  2026-05-09 12:09:18 /build/assets/app-logo-icon-DnbmGu7i.js ...... ~ 0.65ms
  2026-05-09 12:09:18 /build/assets/loader-circle-DCe0y_72.js ...... ~ 0.16ms
  2026-05-09 12:09:18 /build/assets/app-BaH780_N.css ............... ~ 0.03ms
  2026-05-09 12:09:18 /logo.png .................................... ~ 0.03ms
